Service Operation,baseCRBQName,Service Domain,Role Definition
Grant Customer Proposition Agreement,CustomerPropositionAgreement,Customer Proposition,Role for Grant Customer Proposition Agreement service operation
Notify Customer Proposition Agreement,CustomerPropositionAgreement,Customer Proposition,Role for Notify Customer Proposition Agreement service operation
Request Customer Proposition Agreement,CustomerPropositionAgreement,Customer Proposition,Role for Request Customer Proposition Agreement service operation
Retrieve Customer Proposition Agreement,CustomerPropositionAgreement,Customer Proposition,Role for Retrieve Customer Proposition Agreement service operation
Update Customer Proposition Agreement,CustomerPropositionAgreement,Customer Proposition,Role for Update Customer Proposition Agreement service operation
Evaluate Bank Defined Product and Service Term,BankDefinedProductandServiceTerm,Customer Proposition,Role for Evaluate Bank Defined Product and Service Term service operation
Evaluate Customer Defined Product and Service Term,CustomerDefinedProductandServiceTerm,Customer Proposition,Role for Evaluate Customer Defined Product and Service Term service operation
Exchange Bank Defined Product and Service Term,BankDefinedProductandServiceTerm,Customer Proposition,Role for Exchange Bank Defined Product and Service Term service operation
Exchange Customer Defined Product and Service Term,CustomerDefinedProductandServiceTerm,Customer Proposition,Role for Exchange Customer Defined Product and Service Term service operation
Notify Bank Defined Product and Service Term,BankDefinedProductandServiceTerm,Customer Proposition,Role for Notify Bank Defined Product and Service Term service operation
Notify Customer Defined Product and Service Term,CustomerDefinedProductandServiceTerm,Customer Proposition,Role for Notify Customer Defined Product and Service Term service operation
Request Bank Defined Product and Service Term,BankDefinedProductandServiceTerm,Customer Proposition,Role for Request Bank Defined Product and Service Term service operation
Request Customer Defined Product and Service Term,CustomerDefinedProductandServiceTerm,Customer Proposition,Role for Request Customer Defined Product and Service Term service operation
Retrieve Bank Defined Product and Service Term,BankDefinedProductandServiceTerm,Customer Proposition,Role for Retrieve Bank Defined Product and Service Term service operation
Retrieve Customer Defined Product and Service Term,CustomerDefinedProductandServiceTerm,Customer Proposition,Role for Retrieve Customer Defined Product and Service Term service operation
Update Bank Defined Product and Service Term,BankDefinedProductandServiceTerm,Customer Proposition,Role for Update Bank Defined Product and Service Term service operation
Update Customer Defined Product and Service Term,CustomerDefinedProductandServiceTerm,Customer Proposition,Role for Update Customer Defined Product and Service Term service operation
EvCR Establish a managed investment portfolio agreement,ManagedInvestmentPortfolioAgreement,Investment Portfolio Planning,Role for Establish a managed investment portfolio agreement service operation
UpCR Update details of an active managed investment portfolio agreement,ManagedInvestmentPortfolioAgreement,Investment Portfolio Planning,Role for Update details of an active managed investment portfolio agreement service operation
RqCR Request review that proposed activity is compatible with the agreement,ManagedInvestmentPortfolioAgreement,Investment Portfolio Planning,Role for Request review that proposed activity is compatible with the agreement service operation
ReCR Retrieve details about a managed investment portfolio agreement,ManagedInvestmentPortfolioAgreement,Investment Portfolio Planning,Role for Retrieve details about a managed investment portfolio agreement service operation
EvBQ Establish the specific terms/conditions making up the investment agreement,InvestmentTerms,Investment Portfolio Planning,Role for Establish the specific terms/conditions making up the investment agreement service operation
UpBQ Update the terms/conditions for an investment agreement,InvestmentTerms,Investment Portfolio Planning,Role for Update the terms/conditions for an investment agreement service operation
RqBQ Request check of a proposed activity is compatible with a specific term of the agreement,InvestmentTerms,Investment Portfolio Planning,Role for Request check of a proposed activity is compatible with a specific term of the agreement service operation
ReBQ Retrieve details about the specific terms of an agreement,InvestmentTerms,Investment Portfolio Planning,Role for Retrieve details about the specific terms of an agreement service operation
CoCR Control the processing of Direct Debit Facility,DirectDebitFacility,Direct Debit,Role for Control the processing of Direct Debit Facility service operation
"EcCR Accept, verify, etc. aspects of Direct Debit Facility processing",DirectDebitFacility,Direct Debit,"Role for Accept, verify, etc. aspects of Direct Debit Facility processing service operation"
ExCR Execute an available automated action for Direct Debit Facility,DirectDebitFacility,Direct Debit,Role for Execute an available automated action for Direct Debit Facility service operation
InCR Instantiate a new Direct Debit Facility,DirectDebitFacility,Direct Debit,Role for Instantiate a new Direct Debit Facility service operation
ReCR Retrieve details about any aspect of Direct Debit Facility,DirectDebitFacility,Direct Debit,Role for Retrieve details about any aspect of Direct Debit Facility service operation
RqCR Request manual intervention or a decision with respect to Direct Debit Facility,DirectDebitFacility,Direct Debit,Role for Request manual intervention or a decision with respect to Direct Debit Facility service operation
UpCR Update details relating to Direct Debit Facility,DirectDebitFacility,Direct Debit,Role for Update details relating to Direct Debit Facility service operation
CoBQ Control the processing of Payment Tracking,PaymentTracking,Direct Debit,Role for Control the processing of Payment Tracking service operation
"EcBQ Accept, verify, etc. aspects of Funds Available Check processing",FundsAvailableCheck,Direct Debit,"Role for Accept, verify, etc. aspects of Funds Available Check processing service operation"
"EcBQ Accept, verify, etc. aspects of Payment Initiation processing",PaymentInitiation,Direct Debit,"Role for Accept, verify, etc. aspects of Payment Initiation processing service operation"
"EcBQ Accept, verify, etc. aspects of Verify Mandate processing",VerifyMandate,Direct Debit,"Role for Accept, verify, etc. aspects of Verify Mandate processing service operation"
ExBQ Execute an available automated action for Payment Tracking,PaymentTracking,Direct Debit,Role for Execute an available automated action for Payment Tracking service operation
InBQ Instantiate a new Payment Tracking,PaymentTracking,Direct Debit,Role for Instantiate a new Payment Tracking service operation
InBQ Instantiate a new Reporting,Reporting,Direct Debit,Role for Instantiate a new Reporting service operation
ReBQ Retrieve details about any aspect of Funds Available Check,FundsAvailableCheck,Direct Debit,Role for Retrieve details about any aspect of Funds Available Check service operation
ReBQ Retrieve details about any aspect of Payment Initiation,PaymentInitiation,Direct Debit,Role for Retrieve details about any aspect of Payment Initiation service operation
ReBQ Retrieve details about any aspect of Payment Tracking,PaymentTracking,Direct Debit,Role for Retrieve details about any aspect of Payment Tracking service operation
ReBQ Retrieve details about any aspect of Reporting,Reporting,Direct Debit,Role for Retrieve details about any aspect of Reporting service operation
ReBQ Retrieve details about any aspect of Verify Mandate,VerifyMandate,Direct Debit,Role for Retrieve details about any aspect of Verify Mandate service operation
RqBQ Request manual intervention or a decision with respect to Funds Available Check,FundsAvailableCheck,Direct Debit,Role for Request manual intervention or a decision with respect to Funds Available Check service operation
EvCR Establish a customer access profile agreement,CustomerAccessProfileAgreement,Customer Access Entitlement,Role for Establish a customer access profile agreement service operation
UpCR Update details of a customer access profile agreement,CustomerAccessProfileAgreement,Customer Access Entitlement,Role for Update details of a customer access profile agreement service operation
CoCR Control the handling of a customer access profile (e.g. suspend),CustomerAccessProfileAgreement,Customer Access Entitlement,Role for Control the handling of a customer access profile (e.g. suspend) service operation
"EcCR Accept, verify, etc. a customer access profile agreement",CustomerAccessProfileAgreement,Customer Access Entitlement,"Role for Accept, verify, etc. a customer access profile agreement service operation"
RqCR Request manual intervention in a customer access profile (e.g. handle exceptions),CustomerAccessProfileAgreement,Customer Access Entitlement,Role for Request manual intervention in a customer access profile (e.g. handle exceptions) service operation
GrCR Grant access under the agreement,CustomerAccessProfileAgreement,Customer Access Entitlement,Role for Grant access under the agreement service operation
ReCR Retrieve details about a customer access profile agreement,CustomerAccessProfileAgreement,Customer Access Entitlement,Role for Retrieve details about a customer access profile agreement service operation
EvBQ Establish restrictions for the access profile agreement,Restrictions,Customer Access Entitlement,Role for Establish restrictions for the access profile agreement service operation
UpBQ Update details for the restrictions in the agreement,Restrictions,Customer Access Entitlement,Role for Update details for the restrictions in the agreement service operation
ReBQ Retrieve details about the restrictions in the agreement,Restrictions,Customer Access Entitlement,Role for Retrieve details about the restrictions in the agreement service operation
EvBQ Establish preferences for the access profile agreement,Preferences,Customer Access Entitlement,Role for Establish preferences for the access profile agreement service operation
UpBQ Update details for the preferences in the agreement,Preferences,Customer Access Entitlement,Role for Update details for the preferences in the agreement service operation
ReBQ Retrieve details about the preferences in the agreement,Preferences,Customer Access Entitlement,Role for Retrieve details about the preferences in the agreement service operation
CoCR Control the processing of Asset Securitization Transaction,AssetSecuritizationTransaction,Asset Securitization,Role for Control the processing of Asset Securitization Transaction service operation
"EcCR Accept, verify, etc. aspects of Asset Securitization Transaction processing",AssetSecuritizationTransaction,Asset Securitization,"Role for Accept, verify, etc. aspects of Asset Securitization Transaction processing service operation"
ExCR Execute an available automated action for Asset Securitization Transaction,AssetSecuritizationTransaction,Asset Securitization,Role for Execute an available automated action for Asset Securitization Transaction service operation
InCR Instantiate a new Asset Securitization Transaction,AssetSecuritizationTransaction,Asset Securitization,Role for Instantiate a new Asset Securitization Transaction service operation
ReCR Retrieve details about any aspect of Asset Securitization Transaction,AssetSecuritizationTransaction,Asset Securitization,Role for Retrieve details about any aspect of Asset Securitization Transaction service operation
RqCR Request manual intervention or a decision with respect to Asset Securitization Transaction,AssetSecuritizationTransaction,Asset Securitization,Role for Request manual intervention or a decision with respect to Asset Securitization Transaction service operation
UpCR Update details relating to Asset Securitization Transaction,AssetSecuritizationTransaction,Asset Securitization,Role for Update details relating to Asset Securitization Transaction service operation
"EcBQ Accept, verify, etc. aspects of Placement processing",Placement,Asset Securitization,"Role for Accept, verify, etc. aspects of Placement processing service operation"
"EcBQ Accept, verify, etc. aspects of Securitization processing",Securitization,Asset Securitization,"Role for Accept, verify, etc. aspects of Securitization processing service operation"
"EcBQ Accept, verify, etc. aspects of Selection processing",Selection,Asset Securitization,"Role for Accept, verify, etc. aspects of Selection processing service operation"
InBQ Instantiate a new Placement,Placement,Asset Securitization,Role for Instantiate a new Placement service operation
InBQ Instantiate a new Securitization,Securitization,Asset Securitization,Role for Instantiate a new Securitization service operation
InBQ Instantiate a new Selection,Selection,Asset Securitization,Role for Instantiate a new Selection service operation
ReBQ Retrieve details about any aspect of Placement,Placement,Asset Securitization,Role for Retrieve details about any aspect of Placement service operation
ReBQ Retrieve details about any aspect of Securitization,Securitization,Asset Securitization,Role for Retrieve details about any aspect of Securitization service operation
ReBQ Retrieve details about any aspect of Selection,Selection,Asset Securitization,Role for Retrieve details about any aspect of Selection service operation
RqBQ Request manual intervention or a decision with respect to Placement,Placement,Asset Securitization,Role for Request manual intervention or a decision with respect to Placement service operation
RqBQ Request manual intervention or a decision with respect to Securitization,Securitization,Asset Securitization,Role for Request manual intervention or a decision with respect to Securitization service operation
RqBQ Request manual intervention or a decision with respect to Selection,Selection,Asset Securitization,Role for Request manual intervention or a decision with respect to Selection service operation
UpBQ Update details relating to Placement,Placement,Asset Securitization,Role for Update details relating to Placement service operation
UpBQ Update details relating to Securitization,Securitization,Asset Securitization,Role for Update details relating to Securitization service operation
UpBQ Update details relating to Selection,Selection,Asset Securitization,Role for Update details relating to Selection service operation
CaCR Capture Regulatory And Legal Authority Relationship Management Plan activity or event related information,RegulatoryAndLegalAuthorityRelationshipManagementPlan,Regulatory And Legal Authority,Role for Capture Regulatory And Legal Authority Relationship Management Plan activity or event related information service operation
CoCR Control the processing of Regulatory And Legal Authority Relationship Management Plan,RegulatoryAndLegalAuthorityRelationshipManagementPlan,Regulatory And Legal Authority,Role for Control the processing of Regulatory And Legal Authority Relationship Management Plan service operation
"EcCR Accept, verify, etc. aspects of Regulatory And Legal Authority Relationship Management Plan processing",RegulatoryAndLegalAuthorityRelationshipManagementPlan,Regulatory And Legal Authority,"Role for Accept, verify, etc. aspects of Regulatory And Legal Authority Relationship Management Plan processing service operation"
GrCR Obtain permission to act in relation to Regulatory And Legal Authority Relationship Management Plan,RegulatoryAndLegalAuthorityRelationshipManagementPlan,Regulatory And Legal Authority,Role for Obtain permission to act in relation to Regulatory And Legal Authority Relationship Management Plan service operation
InCR Instantiate a new Regulatory And Legal Authority Relationship Management Plan,RegulatoryAndLegalAuthorityRelationshipManagementPlan,Regulatory And Legal Authority,Role for Instantiate a new Regulatory And Legal Authority Relationship Management Plan service operation
ReCR Retrieve details about any aspect of Regulatory And Legal Authority Relationship Management Plan,RegulatoryAndLegalAuthorityRelationshipManagementPlan,Regulatory And Legal Authority,Role for Retrieve details about any aspect of Regulatory And Legal Authority Relationship Management Plan service operation
RqCR Request manual intervention or a decision with respect to Regulatory And Legal Authority Relationship Management Plan,RegulatoryAndLegalAuthorityRelationshipManagementPlan,Regulatory And Legal Authority,Role for Request manual intervention or a decision with respect to Regulatory And Legal Authority Relationship Management Plan service operation
UpCR Update details relating to Regulatory And Legal Authority Relationship Management Plan,RegulatoryAndLegalAuthorityRelationshipManagementPlan,Regulatory And Legal Authority,Role for Update details relating to Regulatory And Legal Authority Relationship Management Plan service operation
CaBQ Capture Troubleshooting activity or event related information,Troubleshooting,Regulatory And Legal Authority,Role for Capture Troubleshooting activity or event related information service operation
InBQ Instantiate a new Establish Relations,EstablishRelations,Regulatory And Legal Authority,Role for Instantiate a new Establish Relations service operation
InBQ Instantiate a new Maintain Relations,MaintainRelations,Regulatory And Legal Authority,Role for Instantiate a new Maintain Relations service operation
InBQ Instantiate a new Represent Bank Interests,RepresentBankInterests,Regulatory And Legal Authority,Role for Instantiate a new Represent Bank Interests service operation
InBQ Instantiate a new Troubleshooting,Troubleshooting,Regulatory And Legal Authority,Role for Instantiate a new Troubleshooting service operation
ReBQ Retrieve details about any aspect of Establish Relations,EstablishRelations,Regulatory And Legal Authority,Role for Retrieve details about any aspect of Establish Relations service operation
ReBQ Retrieve details about any aspect of Maintain Relations,MaintainRelations,Regulatory And Legal Authority,Role for Retrieve details about any aspect of Maintain Relations service operation
ReBQ Retrieve details about any aspect of Represent Bank Interests,RepresentBankInterests,Regulatory And Legal Authority,Role for Retrieve details about any aspect of Represent Bank Interests service operation
ReBQ Retrieve details about any aspect of Troubleshooting,Troubleshooting,Regulatory And Legal Authority,Role for Retrieve details about any aspect of Troubleshooting service operation
RqBQ Request manual intervention or a decision with respect to Establish Relations,EstablishRelations,Regulatory And Legal Authority,Role for Request manual intervention or a decision with respect to Establish Relations service operation
RqBQ Request manual intervention or a decision with respect to Maintain Relations,MaintainRelations,Regulatory And Legal Authority,Role for Request manual intervention or a decision with respect to Maintain Relations service operation
RqBQ Request manual intervention or a decision with respect to Represent Bank Interests,RepresentBankInterests,Regulatory And Legal Authority,Role for Request manual intervention or a decision with respect to Represent Bank Interests service operation
RqBQ Request manual intervention or a decision with respect to Troubleshooting,Troubleshooting,Regulatory And Legal Authority,Role for Request manual intervention or a decision with respect to Troubleshooting service operation
UpBQ Update details relating to Establish Relations,EstablishRelations,Regulatory And Legal Authority,Role for Update details relating to Establish Relations service operation
UpBQ Update details relating to Maintain Relations,MaintainRelations,Regulatory And Legal Authority,Role for Update details relating to Maintain Relations service operation
UpBQ Update details relating to Represent Bank Interests,RepresentBankInterests,Regulatory And Legal Authority,Role for Update details relating to Represent Bank Interests service operation
UpBQ Update details relating to Troubleshooting,Troubleshooting,Regulatory And Legal Authority,Role for Update details relating to Troubleshooting service operation
EvCR Evaluate a card transaction authorization assessment,CreditCardAuthorizationAssessment,Card Authorization,Role for Evaluate a card transaction authorization assessment service operation
UpCR Update details of a card transaction authorization assessment,CreditCardAuthorizationAssessment,Card Authorization,Role for Update details of a card transaction authorization assessment service operation
ReCR Retrieve details about an active car transaction authorization task,CreditCardAuthorizationAssessment,Card Authorization,Role for Retrieve details about an active car transaction authorization task service operation
UpBQ Update details for the device check,DeviceCheck,Card Authorization,Role for Update details for the device check service operation
ReBQ Retrieve details about the device check,DeviceCheck,Card Authorization,Role for Retrieve details about the device check service operation
UpBQ Update details for the card holder authentication check,Authentication,Card Authorization,Role for Update details for the card holder authentication check service operation
ReBQ Retrieve details about the card holder authentication check,Authentication,Card Authorization,Role for Retrieve details about the card holder authentication check service operation
ReBQ Retrieve details about the credit check,CreditCheck,Card Authorization,Role for Retrieve details about the credit check service operation
ReBQ Retrieve details about the fraud check,FraudCheck,Card Authorization,Role for Retrieve details about the fraud check service operation
ReBQ Retrieve details about the stand in check,StandIn,Card Authorization,Role for Retrieve details about the stand in check service operation
Control Public Offering Facility,PublicOfferingFacility,Public Offering,Role for Control Public Offering Facility service operation
Exchange Public Offering Facility,PublicOfferingFacility,Public Offering,Role for Exchange Public Offering Facility service operation
Execute Public Offering Facility,PublicOfferingFacility,Public Offering,Role for Execute Public Offering Facility service operation
Initiate Public Offering Facility,PublicOfferingFacility,Public Offering,Role for Initiate Public Offering Facility service operation
Notify Public Offering Facility,PublicOfferingFacility,Public Offering,Role for Notify Public Offering Facility service operation
Request Public Offering Facility,PublicOfferingFacility,Public Offering,Role for Request Public Offering Facility service operation
Retrieve Public Offering Facility,PublicOfferingFacility,Public Offering,Role for Retrieve Public Offering Facility service operation
Update Public Offering Facility,PublicOfferingFacility,Public Offering,Role for Update Public Offering Facility service operation
Exchange Public Placement Financial Assessment and Audit Fulfillment,PublicPlacementFinancialAssessmentandAudit,Public Offering,Role for Exchange Public Placement Financial Assessment and Audit Fulfillment service operation
Exchange Public Placement IPO and Underwriting Fulfillment,PublicPlacementIPOandUnderwriting,Public Offering,Role for Exchange Public Placement IPO and Underwriting Fulfillment service operation
Exchange Public Placement Instrument Registration Fulfillment,PublicPlacementInstrumentRegistration,Public Offering,Role for Exchange Public Placement Instrument Registration Fulfillment service operation
Exchange Public Placement Instrument Specification Fulfillment,PublicPlacementInstrumentSpecification,Public Offering,Role for Exchange Public Placement Instrument Specification Fulfillment service operation
Exchange Public Placement Prospectus Fulfillment,PublicPlacementProspectus,Public Offering,Role for Exchange Public Placement Prospectus Fulfillment service operation
Exchange Public Placement Roadshow and Marketing Fulfillment,PublicPlacementRoadshowandMarketing,Public Offering,Role for Exchange Public Placement Roadshow and Marketing Fulfillment service operation
Execute Public Placement Financial Assessment and Audit Fulfillment,PublicPlacementFinancialAssessmentandAudit,Public Offering,Role for Execute Public Placement Financial Assessment and Audit Fulfillment service operation
